Alloy,,Welding speed,Rotation speed,Plate thickness,Shoulder radius,Axial pressure,Pin root radius,Pin tip radius,Tilt angle,Thermal diffusivity,Yield strength,Void-1 void free-0,Refs
,,m/s,rps,m,m,Mpa,m,m,degree,m2/s,Mpa,,
44,2219,1.67E-03,13.33,0.00635,0.0075,13.00 *,0.003,0.003,2*,4.89E-05,352,0,10
45,2219,5.00E-04,8.34,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,1,11
46,2219,5.00E-04,11.67,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
47,2219,5.00E-04,15,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
48,2219,1.00E-03,11.67,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
49,2219,1.00E-03,15,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
50,2219,1.50E-03,8.34,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,1,11
51,2219,1.50E-03,11.67,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
52,2219,1.50E-03,15,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
53,2219,1.50E-03,18.34,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
54,2219,2.00E-03,11.67,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
55,2219,2.00E-03,15,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
56,6061,2.00E-03,18.34,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
57,6061,2.00E-03,21.68,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
58,6061,2.50E-03,8.34,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,1,11
59,6061,2.50E-03,11.67,0.008,0.012,26.5,0.0037,0.0027,2*,4.89E-05,352,0,11
